ATF3.logFC	ATF3.PValue	ATF3.FDR	ATF4.logFC	ATF4.PValue	ATF4.FDR	CEBPG.logFC	CEBPG.PValue	CEBPG.FDR	CHOP.logFC	CHOP.PValue	CHOP.FDR
Xist	9.16074813401342	2.43754632879583e-11	2.08410211112043e-07	-3.18847674494745	0.0262871416777711	0.169882888393759	8.64388795496445	2.46880312205355e-13	1.05541333467789e-09	9.17778879699376	6.33508493375489e-11	5.41649761836043e-07
Klk1b22	2.79247757087259	0.121703270428529	0.408865603993682	3.19606071982122	0.218693697816349	0.521732628606255	-7.07730454243029	0.000385714994519412	0.0037054642731921	2.71042816214793	0.164061553024957	0.479892671352508
Cntnap3	-0.605617454077545	0.842902850945257	0.94981907990841	-5.29343518341635	0.275198128736687	0.581984311421533	0.232390076156502	0.940694483235205	0.978568406435444	1.43491403210611	0.699436983495678	0.893244140876318
Tsix	8.81106225640549	8.658973226827e-15	1.48068442178742e-10	-7.34269333536521	5.43850620912574e-05	0.00552202911863492	8.28620526629539	9.84122187656644e-17	1.68284894089286e-12	8.81131096386812	2.53251507420632e-14	4.33060077689281e-10
Umodl1	5.74417098689007	0.0623193828494694	0.284890880560891	26.8792080611055	0.00232285622878597	0.0435058505062871	-1.08540377396829	1	1	2.72641014129787	0.576308900998613	0.833298509155902
Cdk15	2.35730707036427	0.429121819875919	0.739494004779957	1.76548005775979	0.667456069605108	0.866984375413636	0.904958679216679	0.702090992560694	0.838736150657208	1.79333559002624	0.601151148034479	0.846708975325911
Ace2	2.29017877740458	0.418025884662994	0.733378745022796	6.99474896636469	0.068488280251235	0.289030007970414	-7.40865551015097	0.0215820051685848	0.0819390713345002	-5.86054889817525	0.199593832667279	0.525652808151417
Cxcl3	-0.936936184014274	0.864231059651078	0.957765811806245	-1.14206702517615	0.698534306518725	0.885137950460926	1.03128351530762	0.902128287347412	0.958399211831557	-10.4528443191258	0.0681756335473738	0.303752822735824
Lrrc17	6.19005513267821	0.0751560980448679	0.314146597447619	2.0096167227335	1	1	9.60503526521811	0.00331847259470311	0.0201799009137351	3.2344780628108	0.320172278084102	0.652819266543344
Prlr	-3.55176325040719	0.162492167480721	0.473647272246737	-7.68164827671203	0.100761297437034	0.351122469412527	-3.58912735400141	0.0943561186345184	0.234246461766879	-5.03921999585311	0.201660968875904	0.529058387201283
Acta2	-0.379445344373032	0.898922499216177	0.970486011778545	6.1948993574279	0.234101891493483	0.539196600767453	1.37269954926291	0.558361732013114	0.735139021975998	-4.59679612989848	0.329764014705697	0.660683561428637
Gbx2	7.97759499659752	0.0337148623309578	0.202502334337681	0.73432506651094	0.993958114650696	1	-2.34410763622825	0.491486904272087	0.681292644540587	3.18421781167966	0.303161553104246	0.636940970399632
Uts2r	11.7799371477772	0.0371784431954504	0.213606563588483	-3.28437289354309	0.911824272620264	0.982866557098242	8.26858193674131	0.0367370418988244	0.120169711336222	10.0076302427902	0.0563250085251501	0.272965590049645
Fam110c	1.84407427471384	0.715482803283389	0.899453777614416	-1.54757792294426	0.787664701208962	0.92902927235986	2.62196844716396	0.432056633531013	0.628994417961887	1.88738792661703	0.730641853209331	0.90700617505154
Nxph2	-1.74620163657281	0.388710602420236	0.712504159222428	-4.6340068619942	0.20799848864772	0.510874510398456	-2.27365921814885	0.13938202834879	0.305750375886597	-0.951507868368853	0.633133299862278	0.863501310228502
Efcab1	-0.670178047355936	0.833099111172582	0.946577727644595	1.28296970834447	0.794386202447438	0.931751427522546	0.153838062523582	0.949425091383143	0.982733899855764	-2.598432626127	0.510004106754313	0.792290639462715
Agtr2	7.34980154375193	0.0654060815925845	0.29263317510026	-1.15738274693739	0.999720667798518	1	0.603041825174156	0.999738881563043	1	1.58113740562515	0.197620988228009	0.523519581518042
Magel2	3.31587242759715	0.427542286328509	0.739079366783006	2.53986941599386	0.651096786542447	0.858519213767672	-4.95565227787634	0.0966456720294521	0.238029813006428	4.06107124064887	0.343286384461161	0.672339614509891
AA387883	8.69306812781427	0.207212941680352	0.53034542211045	-2.99154473394807	0.559414505633034	0.80718825806471	3.89565651867201	0.404021593919221	0.604600442462474	8.97275578095992	0.19904515666807	0.525489970161979
Fst	8.12680220807123	0.0959943231475499	0.359579458812705	0.839622199339423	0.800796481284958	0.934071421529273	3.26436062211206	0.215991457052722	0.407811162136378	9.95879729094288	0.0748500620918077	0.319394596011139
Gpr64	-4.23834070861774	0.648671523891034	0.868521616601706	-1.26013444155365	0.834423326932584	0.950229015087052	-9.33931493617372	0.089453819955343	0.225617033333157	-3.31576457319528	0.736542743356035	0.909379417097106
Nxpe5	2.8613201018792	0.502401864103123	0.788027139622399	-3.20650463893649	0.70599611651309	0.88833948435422	5.15734059181136	0.0879891012882036	0.222971788978702	-2.3463856210617	0.676708221977234	0.882466115672799
Stpg2	2.10849770734785	0.855782147196101	0.954916460663306	12.7700396364932	0.18065765245811	0.475933099552106	-2.41353002328771	0.30493294990353	0.509363431019866	1.37458499774493	0.952692195340226	0.987515096097343
Naa11	2.04686121587513	0.552636216253381	0.820207103446801	-0.467012260532449	0.927569504384543	0.988987394605307	-2.92152661340521	0.225436368341615	0.419121181645223	0.263350509649184	0.927166351264539	0.979945893233428
AF529169	1.90458022463716	0.582903650857773	0.836747279305225	-0.928818769544915	0.902967260783344	0.979199690401766	3.097334716089	0.160568156510897	0.33698029901035	1.54974908689428	0.684389410118019	0.886763470177436
Chp2	-0.457278534012205	0.797744037462243	0.93240155111154	-9.60311589774654	0.128816677562169	0.398797385196611	-0.628975783297032	0.62540630017644	0.787310259057776	-4.20567387405373	0.3290034768163	0.659994009536471
Gpr52	-1.02753792671341	0.68728141125415	0.888041877174578	-12.6313190781226	0.0148091574542988	0.122374728382065	0.813184864067919	0.706146215028331	0.840708784862804	-2.39854658188973	0.493358806701275	0.782310418031082
Ogn	2.82513594926857	0.779096636666997	0.925755853450465	-1.86809025331607	0.479766683310635	0.753716454990324	0.724069094789487	0.772654273379202	0.882355287483929	1.58131454331077	0.908467148120385	0.974465081791362
B230312C02Rik	-0.068080965152761	0.690326124270924	0.889166671063031	-7.12160624698352	0.15449902523581	0.440689463141344	-0.271722890622259	0.995837464368287	1	-3.87077932540146	0.134114222011256	0.431130210566128
Cryba1	-0.501570416768444	0.748914348892951	0.912919544202271	8.28659042521294	0.999893936088019	1	-4.67836283456836	0.0502415669701641	0.150592602136688	-4.88896980330327	0.231154578248983	0.563068844452651
Gucy2c	-2.05072060166909	0.999835780398164	1	-6.05328450106087	1	1	-2.55088797046994	0.999925994619125	1	-10.3615790292226	0.999851803300343	1
Zar1	9.08495537430607	0.067711613663338	0.298265995271272	1.35200778972916	0.843632891169665	0.954613713538994	0.109894926338651	0.549860927522565	0.729224589780972	8.52839991431851	0.0942740543472892	0.359199271243013
